object,night,t_fit,alpha,delta,alpha_dot,delta_dot,a_kep,e,i,Omega,omega,M,a_equ,h,k,p,q,lambda
2022US24,2,59882.36748842592,0.44532941257056097,0.6734841611010679,0.013953567628209068,-0.0254591409420026,1.33243,0.171456,10.348,232.493,153.101,235.696,1.332297960791113,0.073905155434556,0.154815003966988,-0.071838867670122,-0.055121879914704,33.1835039684493
2022US24,3,59883.347025462965,0.4582651384878735,0.6511399227219872,0.011119719064533002,-0.02396880101605731,1.33243,0.171456,10.348,232.493,153.101,235.696,1.332297960791113,0.073905155434556,0.154815003966988,-0.071838867670122,-0.055121879914704,33.1835039684493
2016JM38,1,57511.328101851854,3.6877439920059456,-0.10312326366776609,-0.024136586633972,-0.03047155697186099,1.37049,0.545043,21.345,43.646,68.679,264.992,1.370218984024924,0.504039645683141,-0.207059127007719,0.130335918598029,0.136198139273412,156.9560406229186
2016JM38,2,57512.15734953704,3.669167871000552,-0.127727557984075,-0.022707379132953065,-0.02803677704059737,1.37049,0.545043,21.345,43.646,68.679,264.992,1.370218984024924,0.504039645683141,-0.207059127007719,0.130335918598029,0.136198139273412,156.9560406229186
2011BJ10,1,55584.368159722224,2.164839499885774,0.24126122582630616,-0.0031199831953472312,0.07106953053332177,1.35425,0.272316,28.115,124.006,297.953,58.485,1.354112475293637,0.240227676049769,0.128144002845794,0.207390498852435,-0.140250224577092,99.1443582358847
2011BJ10,2,55585.39351851852,2.1632483413843717,0.3124241171942883,-0.003106159265257702,0.06742715658936049,1.35425,0.272316,28.115,124.006,297.953,58.485,1.354112475293637,0.240227676049769,0.128144002845794,0.207390498852435,-0.140250224577092,99.1443582358847
2011BJ10,3,55586.28013888889,2.1620317014516277,0.37083640874908963,0.003450699389759393,0.06560726954569418,1.35425,0.272316,28.115,124.006,297.953,58.485,1.354112475293637,0.240227676049769,0.128144002845794,0.207390498852435,-0.140250224577092,99.1443582358847
2011BJ10,4,55587.35773148148,2.160697324516426,0.43772280711737266,-0.0032867793321928445,0.06007639516308134,1.35425,0.272316,28.115,124.006,297.953,58.485,1.354112475293637,0.240227676049769,0.128144002845794,0.207390498852435,-0.140250224577092,99.1443582358847
2020CA1,1,58881.37793981482,2.4238187265019087,0.43693881491365044,-0.035160674770509104,-0.03716131795877686,1.19875,0.265229,21.873,315.155,265.917,302.085,1.1988564721333899,-0.174224549585369,-0.199905781686518,-0.136208371341152,0.137135230502678,162.6448859001688
2020CA1,2,58882.17841435185,2.3967966663579063,0.4060590923090596,-0.03582172959067975,-0.03943146130450259,1.19875,0.265229,21.873,315.155,265.917,302.085,1.1988564721333899,-0.174224549585369,-0.199905781686518,-0.136208371341152,0.137135230502678,162.6448859001688
2020CA1,3,58883.04053240741,2.3659683340035134,0.36996568337781693,-0.037970820480495604,-0.043643872248139814,1.19875,0.265229,21.873,315.155,265.917,302.085,1.1988564721333899,-0.174224549585369,-0.199905781686518,-0.136208371341152,0.137135230502678,162.6448859001688
2005JB46,1,53498.353530092594,4.206017331724097,-0.2901188093538008,-0.0015632570439265692,-0.1353772823326267,1.33371,0.218488,14.036,48.683,179.576,352.967,1.3340530716947707,-0.162674306041182,-0.146062957817962,0.092690822338535,0.081178018167463,229.1473502625826
2005JB46,2,53500.31854166667,4.216892914625587,-0.555980450986967,-0.001684221030586741,-0.13226622012598455,1.33371,0.218488,14.036,48.683,179.576,352.967,1.3340530716947707,-0.162674306041182,-0.146062957817962,0.092690822338535,0.081178018167463,229.1473502625826
2005JB46,3,53501.317199074074,4.223027019725825,-0.6837463092518496,-0.0020072943880222738,-0.1234340912415064,1.33371,0.218488,14.036,48.683,179.576,352.967,1.3340530716947707,-0.162674306041182,-0.146062957817962,0.092690822338535,0.081178018167463,229.1473502625826
2021RP16,1,59471.4387037037,0.5655223114517243,-0.31619257393755273,0.2553531018947979,-0.05537324199030991,1.87132,0.510327,6.473,166.483,231.981,137.49,1.8756841863057971,0.317176584445145,0.400863292749261,0.013202574110917,-0.055135155551807,24.5834191480557
2021RP16,2,59472.03710648148,0.7327168543670428,-0.3468454037393842,0.2808746684651264,-0.04598012589528283,1.87132,0.510327,6.473,166.483,231.981,137.49,1.8756841863057971,0.317176584445145,0.400863292749261,0.013202574110917,-0.055135155551807,24.5834191480557
2024XA6,1,60649.86513888889,2.767455148486029,1.364056743945676,0.12361472353586578,-0.021567774114373606,0.896787,0.209182,28.452,254.927,308.236,65.546,0.9659371480379747,-0.01014526375332,-0.219736752466134,-0.234243374113215,-0.063022930464994,99.197293324767
2024XA6,2,60650.50373842593,2.9147115590809287,1.3292663687451514,0.5310073230502894,-0.20781919729779474,0.896787,0.209182,28.452,254.927,308.236,65.546,0.9659371480379747,-0.01014526375332,-0.219736752466134,-0.234243374113215,-0.063022930464994,99.197293324767
2022WJ9,1,59910.34454861111,0.44786748491322154,0.08047179885896633,0.021311843448387435,-0.01474040459588366,1.83765,0.400573,9.461,235.568,186.479,351.1,1.8375242882808922,0.353450256687873,0.188114907793176,-0.068264877958113,-0.046776440014753,61.7647246936781
2022WJ9,2,59911.03748842593,0.46372889171124165,0.07064171666078937,0.020996709963355897,-0.014574708489817567,1.83765,0.400573,9.461,235.568,186.479,351.1,1.8375242882808922,0.353450256687873,0.188114907793176,-0.068264877958113,-0.046776440014753,61.7647246936781
2022WJ9,3,59912.035416666666,0.48628000008805183,0.05626796064325386,0.021230695703252422,-0.014493764757844474,1.83765,0.400573,9.461,235.568,186.479,351.1,1.8375242882808922,0.353450256687873,0.188114907793176,-0.068264877958113,-0.046776440014753,61.7647246936781
